x,y,z
-0.0257493,0.0118089,0.314
-0.0161119,0.0122745,0.313
-0.00603423,0.0127368,0.312
0.00347947,0.0131959,0.311
0.0134302,0.0136518,0.31
0.0227463,0.0140588,0.308
0.0230903,0.00462164,0.306
0.0133002,0.00414325,0.307
0.00395359,0.00367353,0.309
-0.00599555,0.0031871,0.31
-0.0155093,0.00269746,0.311
-0.0255033,0.00219753,0.311
-0.0253393,-0.00725409,0.309
-0.0153596,-0.00673552,0.308
-0.00593753,-0.00622015,0.307
0.00442127,-0.00572666,0.307
0.0137037,-0.00568935,0.305
0.0234279,-0.00469335,0.304
0.023759,-0.0143716,0.302
0.0141007,-0.0149063,0.303
0.00437807,-0.0154442,0.304
-0.00539105,-0.0159328,0.304
-0.0152599,-0.0160376,0.306
-0.024682,-0.017077,0.307
-0.0249293,-0.026195,0.304
-0.00488647,-0.0251347,0.303
0.417687,-0.139161,1.615
1.10555,-0.283868,3.357
1.07093,-0.241475,2.911
1.07117,-0.358523,2.874
1.11171,-0.420382,3.327
0.441584,-0.210507,1.666
-0.00483809,-0.0345307,0.3
-0.0150106,-0.0351296,0.301
-0.0247653,-0.0357318,0.302
